Code,Category,Year
100,Yes,2020
104,Yes,2020
105,Yes,2020
106,Yes,2020
107,No,2020
108,Yes,2020
109,Yes,2020
110,Yes,2020
111,Yes,2020
112,No,2020
113,Yes,2020
114,Yes,2020
115,Yes,2020
116,Yes,2020
117,Yes,2020
119,Yes,2020
120,No,2020
121,No,2020
122,Yes,2020
123,Yes,2020
124,Yes,2020
125,Yes,2020
126,No,2020
127,Yes,2020
129,No,2020
130,Yes,2020
132,No,2020
133,Yes,2020
135,Yes,2020
137,No,2020
138,No,2020
139,Yes,2020
140,Yes,2020
141,Yes,2020
99,Yes,2020
33,No,2019
35,No,2019
37,Yes,2019
40,Yes,2019
42,Yes,2019
43,No,2019
45,Yes,2019
46,No,2019
47,No,2019
50,Yes,2019
51,No,2019
52,No,2019
54,No,2019
56,No,2019
58,Yes,2019
59,Yes,2019
62,Yes,2019
64,Yes,2019
66,Yes,2019
67,Yes,2019
68,No,2019
69,Yes,2019
71,Yes,2019
75,Yes,2019
77,Yes,2019
78,Yes,2019
82,No,2019
86,Yes,2019